,id,message,screen_name
71,1262803298492526592,"RT @silviogrimaldo: Sabe qual o nome disso? Intervenção militar. Fica aí achando que as forças de segurança estão do lado do povo, Amiguinh…",seuandredozap
72,1262803297850863618,@mateusofofo_ bom pode ser corona ou raiva vc foi mordido por algum animal recentemente?,na8na10
73,1262803297003622410,"RT @felipeneto: O caso João Pedro não é ""menino morre"". João Pedro foi ASSASSINADO pelo Estado, executado dentro de casa e em seguida teve…",gabiellensantos
74,1262803296357617669,RT @Vinisouza04_: É virus https://t.co/1YGFZZ9Ggc,HeavenlyOtter
75,1262803296277999618,"RT @daviuzada: NA MORAL, VAI TOMAR NO OLHO DO SEU CU!

Governo Lula foi não só foi um dos q mais encarcerou, mas foi um dos principais na p…",craudiovinicius
76,1262803296244445186,"A #UFF não pára no combate à COVID-19! Dessa vez, o assunto na mídia foi a equipe da ""Frente UFF"" que concluiu o primeiro protótipo de ventilador mecânico e está trabalhando em versões melhoradas para que o projeto possa ser aprovado pela ANVISA. https://t.co/zkfzdPog1B",uff_br
77,1262803296231833603,"RT @CarlaZambelli38: O governo do Presidente @jairbolsonaro  já distribuiu comprimidos de cloroquina a praticamente todos os Estados, sendo…",gueiros_tania
78,1262803296227598339,"RT @rafaelmmartins: No meio duma pandemia, Bolsonaro (ou alguém a seu pedido) ligou a um delegado do interior de São Paulo para saber se er…",luhes
79,1262803296106020864,"RT @carmelonetobr: O STF deu superpoderes a governadores e prefeitos para enfraquecer Bolsonaro, mas o tiro saiu pela culatra. Enquanto os…",joaorachod
80,1262803295736926210,RT @konohadobr: sakura e tsunade iam acabar com o corona vírus no soco https://t.co/T1wrJDQS9D,Beldade__
81,1262803295699165184,"RT @Arthur_Chryss: o br depois de vencer o Corona, sobreviver a um mandato do Bolsonaro e de salvar a Bell
#SalvemBelParaMeninas  
https://…",LiviaDg3
82,1262803295669817345,"RT @thescorpiao: Brasil indo receber a vacina contra covid-19: 
https://t.co/pEZDd1EHZC",gabfcastro
83,1262803295585927171,"RT @BolsonaroSP: Se o confinamento imposto por João Dória, com registro até de prisão de senhora em praça pública, estivesse dando certo Sã…",koelhert
84,1262803294356979712,"RT @diarioonline: Bolsonaro deve vir ao Ceará em junho, diz ministro do Desenvolvimento Regional https://t.co/Nnn3rNfWPm https://t.co/FOoUT…",comexsd
85,1262803294084304897,RT @randolfeap: Já pedimos investigação e acionamos o conselho de ética solicitando a cassação do mandato de Flávio Bolsonaro! Essa “quadri…,NayraMV
86,1262803294075998209,"RT @CarlaZambelli38: A luta do Governo Federal contra a Covid-19 não para. 

Já são 100.459 brasileiros curados da doença e 136.969 em trat…",vladimirgomes66
87,1262803293711056900,"RT @silviogrimaldo: Sabe qual o nome disso? Intervenção militar. Fica aí achando que as forças de segurança estão do lado do povo, Amiguinh…",Mikael86891409
88,1262803293505536000,RT @ElineKbraw81: A primeira vez que Bolsonaro defendeu o uso da HCQ foi no dia 25 de Março. O Brasil contabilizava 59 mortos pelo vírus na…,sherliv
89,1262803293358743562,"RT @RenovaMidia: ""Nenhum ministro saiu por corrupção ou acomodação partidária. No passado, trocava centenas de ministros por ano e a impren…",DanielLampur
90,1262803293044125697,RT @raissachaddad: quando eu tomar a vacina da covid https://t.co/Ilvx3Z6z7l,Gbalaa3
91,1262803292721164289,RT @raissachaddad: quando eu tomar a vacina da covid https://t.co/Ilvx3Z6z7l,caroool_cat
92,1262803292712833030,"Esse covid-19 podia vazar logo... Eu sei que eu nao sou de sair, mas gosto dos story dos povo saindo",brendarf98
93,1262803292373028866,"#SalvemBelParaMeninas

Querido diário hoje acordei com uma solicitação da Fran mãe de bel para meninas, devo contratar um advogado ou ainda é cedo? Espero a política federal vir me buscar ou não?  Como proceder? https://t.co/kTmrkolYsR",TaeYang_Carol
94,1262803292058529795,RT @Vinisouza04_: É virus https://t.co/1YGFZZ9Ggc,MarcosGui03
95,1262803291949477888,"RT @nilmoretto: Joao foi assassinado, @g1. Corrija essa manchete, por favor.
A policia federal no RJ, comandada por quem o Bolsonaro botou…",georgeafg
96,1262803291882360833,RT @raissachaddad: quando eu tomar a vacina da covid https://t.co/Ilvx3Z6z7l,dlameza_
97,1262803291630710786,"RT @Clauwild1: No Brasil, a ditadura do judiciário ideologizado vai ficando cada dia mais escancarada. País em que ameaçar, caluniar, difam…",EtelvinaMartins
98,1262803291626496000,"RT @JooPaul73784669: Que dia, hoje entrei para os números das estatísticas... Estou com suspeita da COVID-19 coisa desconfortável, e olhe q…",gripezinha_
99,1262803291324497921,"me tira uma duvida ai, pq vc pode ver o namorado na quarentena e o cara n pode ver o amigo? o corona é romantico?",_leandrocsoares
100,1262803291118895109,"RT @CarlaZambelli38: O governo do Presidente @jairbolsonaro  já distribuiu comprimidos de cloroquina a praticamente todos os Estados, sendo…",MFabiana4
101,1262803291097968641,"RT @felipeneto: O caso João Pedro não é ""menino morre"". João Pedro foi ASSASSINADO pelo Estado, executado dentro de casa e em seguida teve…",bellafiuza96
102,1262803291022508032,"RT @raffa_silva00: E isto é motivo de gozo? É grande homem e super humilde, nunca vi nenhum presidente tão ligado ao povo como este!!",Andrefelipe991
103,1262803290741452803,RT @Clauwild1: @filtradas_com Meu Deus! O governo federal precisa intervir. Os tiranetes precisam ser parados.,Rafael15785881
104,1262803290435334151,"RT @mjmacul_lima: Witsel recebeu milhões do Governo Federal para usar na pandemia, pouco fez, muito roubou e como um ditador quer trancar a…",ferebello
105,1262803290242367488,RT @ge_fla: Landim se reúne com Bolsonaro e o presenteia com nova camisa do Flamengo https://t.co/zsTZVRyUWq,MM_CRF81
106,1262803289294413825,RT @mc_caroloficial: A mulher que daria um jeito no bolsonaro https://t.co/CrDKktXPPD,nnavagi
107,1262803289244086274,"RT @cahemota: Rodolfo Landim e o chefe do departamento médio, Márcio Tanure, de reuniram nesta terça-feira com o presidente Jair Bolsonaro,…",SheeDJulio
108,1262803289197940738,"@Rjdouglasgomes Este é o Rio de Janeiro de @wilsonwitzel ,um estrume sem respeito ao povo q o elegeu..Temos direito à manifestação,nossa indignação c seu governo é enorme..Vc não é e jamais será nosso dono é,sequer Presidente deste país.. Olhem mais este absurdo @jornaldarecord @jairbolsonaro",dezacrvg
109,1262803289172783105,RT @MonicaSeixas: Foi golpe. Bolsonaro é fascista. Doria é um oportunista. A ciência está certa. Quarentena é necessária. Cloroquina não fu…,greyf_53
110,1262803288820506624,"@Alan1Car @tiagosamps @DiogoOliveiraV @ukley @onpanicmode @Iexandre @eurenesilva Mano, e tu acha que os policiais que morrem são de que cor? Agora que o governo não tem preocupação nenhuma em mudar a vida daquelas pessoas e isso gera fatos como esse é verdade, agora não adianta culpar uma instituição que não tem estímulo nenhum pra defender a sociedade.",farukcamargo
111,1262803288531128322,"Eu tô chorando de Felicidades, Sogra da minha comadre venceu o Covid-19, orei tanto, GLÓRIA A DEUUUUS OBRIGADA SENHOR ❤️🙏🏾😭",Cassia26618638
112,1262803288430448643,RT @helen_monteiro: Hj acordei cansada! Cansada de gente imbecil! Cansada de não poder trabalhar e interagir com a galera. Cansada de ter m…,Karen5562
113,1262803287935528960,"RT @folha: EXCLUSIVO FOLHA
Flávio Bolsonaro repassou R$ 500 mil do fundo público partidário a advogado investigado no caso Queiroz.
Victor…",dududuedu89
114,1262803287859965953,"RT @delucca: Se existisse contra o Lula um décimo das denúncias que existem contra a família Bolsonaro, o STF já teria retomado a pena de m…",Rainara__
115,1262803287780229121,RT @raissachaddad: quando eu tomar a vacina da covid https://t.co/Ilvx3Z6z7l,brnafroes
116,1262803287583195141,@ENGJOAOCARLOS @kellyanselmobo1 @NegaoPadre @Rafa02233505 Então você está me dizendo q se eu pegar covid e estiver no último estágio do vírus e tomar isso eu vou ficar viva e sem o vírus ???? 🥰🥰🥰🥰,Rayssa_menesess
117,1262803287503405058,RT @raissachaddad: quando eu tomar a vacina da covid https://t.co/Ilvx3Z6z7l,ivondollinger
118,1262803287302119430,"RT @raffa_silva00: E isto é motivo de gozo? É grande homem e super humilde, nunca vi nenhum presidente tão ligado ao povo como este!!",rodrigues110130
119,1262803286798798856,"RT @um_milhao: @felipeneto preto favelado
em isolamento social
foge do vírus
mas não escapa do policial

quarentena
no leblon
netflix debai…",Rn_Martins_
120,1262803286194827265,RT @jandira_feghali: ATENÇÃO! A MP910 deu lugar ao PL 2633! O Congresso não pode votar às pressas e em meio à crise sanitária propostas que…,eriksouza_2
121,1262803286001881093,"RT @RFGlau: Minha filha pegou covid no trabalho (Bancária), e meu genro pegou dela, tomaram AZT+HCQ+Zinco logo no inicio dos sintomas, com…",SanMcf
122,1262803285175664641,RT @MonicaSeixas: Foi golpe. Bolsonaro é fascista. Doria é um oportunista. A ciência está certa. Quarentena é necessária. Cloroquina não fu…,nedezenge
123,1262803284848455689,RT @GuilhermeBoulos: Flávio Bolsonaro pagou advogado investigado no caso Queiroz com R$500 mil do fundo partidário do PSL. Uso de dinheiro…,luizgilsonjr
124,1262803284840058884,"Flávio Bolsonaro repassou R$ 500 mil do fundo público a advogado investigado no caso Queiroz.
Victor Granado Alves é investigado em esquema de 'rachadinhas' e citado em relato sobre vazamento da PF. Fala aí, minion!",marthaeferreira
125,1262803284823363588,"RT @CarlaZambelli38: A luta do Governo Federal contra a Covid-19 não para. 

Já são 100.459 brasileiros curados da doença e 136.969 em trat…",CZJ_17
126,1262803284231958529,"RT @blogdojefferson: Depois de ter concedido poderes aos governadores e estimulado a criação de Estados confederados, Alexandre Morais agor…",microcosmo5
127,1262803284072464385,"RT @delucca: Se existisse contra o Lula um décimo das denúncias que existem contra a família Bolsonaro, o STF já teria retomado a pena de m…",kyttymey
128,1262803283841896451,"RT @LorenzonItalo: Você de esquerda e da “direita anti-Bolsonaro”, seja coerente e não vá votar esse ano. Proteja-se do Coronavirus. #FicaE…",_ZaNgUeTa_
129,1262803283728650240,"RT @ConversaAfiada: A farsa da eleição de 2018: enquanto Moro divulgava delação de Palocci, Polícia Federal escondia Queiroz https://t.co/8…",pereirajeane11
130,1262803283380502533,@diogomainardi Como estas diretrizes chegarão à população para mostrar que a indicação do bolsonaro é errada?,sheilaokcy
131,1262803283007209473,"RT @felipeneto: O caso João Pedro não é ""menino morre"". João Pedro foi ASSASSINADO pelo Estado, executado dentro de casa e em seguida teve…",oo_ilhaa
132,1262803282885586944,"No jornal local aconteceu o esperado, o EMPRESARIADO começa a COBRAR o real culpado pela quebra de empresas e o desemprego no Pará: o HÉLDER BARBALHO, q tomou medidas contrárias às definidas pelo Governo Federal. Toma tua merenda agora!

#FechadoComBolsonaro #bolsonarotinharazao",JrDamasceno
133,1262803282847825923,RT @viniciussexto: Bruno Covas vai adotar a cloroquina em SP capital. Se tivesse adotado antes ao invés de ficar de briguinha ilógica com o…,gersonsflores
134,1262803282805874693,RT @raissachaddad: quando eu tomar a vacina da covid https://t.co/Ilvx3Z6z7l,JuliaDavidN
135,1262803282738757634,"RT @carmelonetobr: O STF deu superpoderes a governadores e prefeitos para enfraquecer Bolsonaro, mas o tiro saiu pela culatra. Enquanto os…",JoseAdeildo
136,1262803282508107783,RT @BlogdoNoblat: A Polícia Federal já sabe desde ontem o nome do delegado que informou Flávio Bolsonaro sobre a operação que acabaria por…,Krishna36961052
137,1262803282260566017,"RT @rodaviva: “O governo atual vive do caos. Ele vive da promoção do caos, do desespero, do medo. [...] Já a oposição está fazendo tudo err…",themodernguilt
138,1262803281769828357,"RT @Prof_Jubilut: Coberto pela nuvem de fumaça da pandemia, crise política e econômica, o desmatamento da Amazônia, segundo o Imazon, cresc…",LavaredaThiago
139,1262803281560158212,"RT @ManuelaDavila: A voz de  @felipeneto tem sido imprescindível na defesa da democracia, denunciando o que representa o governo bolsonaro…",DihuTessima
140,1262803281509847041,"RT @4Mariah_7: Nos estritos termos do que encerra o artigo 486 da CLT, será o governo do estado responsável pelo pagamento das rescisões co…",AnaCris53727087
141,1262803280872251393,"@PastorMalafaia não concordo com alguns que se dizem cristão, estar envolvido em crise política",paulogcnetopv
142,1262803280830377985,"RT @cellbit: ser contra o bolsonaro não é mais um posicionamento político

nesse ponto é senso comum",ggabr_elle
143,1262803280603877376,@hicaroteixeira Típico! Nada como um ser deste calibre para um governo descalibrado como o nossos! Qual outro tipo poder-se-ia esperar para participar de um governo como o do BoÇalnaro?,RenatoF59631598
144,1262803280532508673,"RT @jardim_suzane: A perversidade do governo atual me assusta por ser o que é e porque tende a fazer toda perversidade anterior parecer ""su…",daylanelc
145,1262803280243105795,"RT @randolfeap: De acordo c/ a Folha, Flávio Bolsonaro tirou R$ 500 mil dos cofres público p/ tentar se proteger de suas falcatruas. Isso e…",NayraMV
146,1262803279882436608,RT @raissachaddad: quando eu tomar a vacina da covid https://t.co/Ilvx3Z6z7l,_CamillyP
147,1262803279865618434,"RT @ricardope: Sabe quem ainda está negando que o impeachment de Dilma Rousseff foi GOLPE?

Aquele que no dia da votação do impeachment em…",clagraca
148,1262803279425294336,RT @Anitta: @marceloramosam Nao vamos parar... vamos evoluir... pq estão todos se disponibilizando a aprender mais sobre política pra saber…,priormineirin
149,1262803279366565888,"RT @dimacgarcia: A justiça do DF negou o pedido do MBL e manteve a nomeação de chefe da PF.

Na decisão, o juiz rechaçou a tese de desvio d…",profaanamr
150,1262803279320408065,"@GiseleAFontes Eu tenho medo que nossa geração suporte essa crise, mas nao passe. Tudo bem, ja vivemos um bocado. Mas essa situação política, social, essa crise de saude tem de passar ora geração de nossos filhos. Tem de passar.",capitaopolicial
151,1262803278888341506,RT @carmelonetobr: O Antagonista escreve que “o remédio do Bolsonaro pode matar ainda mais” e Mandetta declara que “pode provocar mortes em…,LCRodrigues2112
152,1262803278779371521,"@marcofeliciano No Brasil o combate é contra o presidente Bolsonaro! Mas agora ele ""pode""lavar as mãos. STF deu plenos poderes aos governos estaduais bah!",henriquemartin6
153,1262803278691262466,RT @musoverao: se o sabao mata o virus pq n fazem uma vacina com sabao,_FelpsV
154,1262803278670303232,RT @DeputadoFederal: Flávio Bolsonaro repassou R$ 500 mil de fundo partidário para advogado citado por Paulo Marinho https://t.co/g5JRjXARVr,robsonhcosta
155,1262803278372515847,RT @kalmarzinha: tô achando tão bonitinho todo mundo usando a bandeira do Brasil. lembraram que ela existe? lembraram que o Brasil foi DEST…,mnunesvsc
156,1262803278292832258,"RT @folha: EXCLUSIVO FOLHA
Flávio Bolsonaro repassou R$ 500 mil do fundo público partidário a advogado investigado no caso Queiroz.
Victor…",bymilavieira
157,1262803278070497281,"RT @um_milhao: @felipeneto preto favelado
em isolamento social
foge do vírus
mas não escapa do policial

quarentena
no leblon
netflix debai…",mibandeiraa
158,1262803277931921408,RT @raissachaddad: quando eu tomar a vacina da covid https://t.co/Ilvx3Z6z7l,Anfitritex
159,1262803277852348424,"RT @felipeneto: O caso João Pedro não é ""menino morre"". João Pedro foi ASSASSINADO pelo Estado, executado dentro de casa e em seguida teve…",woochulips
160,1262803277223268352,"RT @PatoCorporation: Bolsonaro mostrou q a gente tinha visão distorcida das Forças Armadas.

A gente achava q eles só serviam p pintar post…",KSM_2501ZX
161,1262803277206429702,RT @Vinisouza04_: É virus https://t.co/1YGFZZ9Ggc,xandy_fontana
162,1262803277118427136,"RT @silviogrimaldo: Sabe qual o nome disso? Intervenção militar. Fica aí achando que as forças de segurança estão do lado do povo, Amiguinh…",gracelli
163,1262803277005144068,"@LulaOficial Mais respeito com a família, fica usando essa tragédia para fazer midia politica!!!
Na gestao petralha de vcs era uma vergonha nas ruas!!!!",alanbayer
164,1262803276753514501,RT @Joaoauferil: Quero minha vacina não votei no bolsonaro 😡,crf_anjoss
